dataset,volume,type
Superconductor Temperature,8.314760766160164e158,BVA Inverse
Superconductor Temperature,1.0036179533593844e160,RS
Superconductor Temperature,3.3656236360819856e166,BS
Superconductor Temperature,6.364001629706049e158,QBS
Superconductor Temperature,4.662307624941048e158,EBS
Seoul Bike Sharing Demand,356982676684803.5,DTC Proportional
Seoul Bike Sharing Demand,350073080268740.3,DTC Inverse
Seoul Bike Sharing Demand,42696173998.68252,BVA Proportional
Seoul Bike Sharing Demand,41926033577.03476,BVA Inverse
Seoul Bike Sharing Demand,117697767015647.39,RS
Seoul Bike Sharing Demand,2.639818445782557e17,BS
Seoul Bike Sharing Demand,0.0,QBS
Seoul Bike Sharing Demand,114096146221314.62,EBS
Wind Power,1177758778754027.2,DTC Proportional
Wind Power,1184913601918838.2,DTC Inverse
Wind Power,382318383122496.2,BVA Proportional
Wind Power,382569577961010.8,BVA Inverse
Wind Power,850176486005833.4,RS
Wind Power,2237408603048389.2,BS
Wind Power,723415920625691.8,QBS
Wind Power,367403957569485.44,EBS
Wind Speed,41532808.695838936,DTC Proportional
Wind Speed,41069443.61293894,DTC Inverse
Wind Speed,1763854.4546705158,BVA Proportional
Wind Speed,1001618.9615586568,BVA Inverse
Wind Speed,37298656.81880398,RS
Wind Speed,235686823.89554557,BS
Wind Speed,25491254.81652665,QBS
Wind Speed,24776281.584000003,EBS
